Gender,CGPA,Internships,Projects,Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
Female,7.46,0,3,2,44.8,5.6,Yes,No,78.4,77.7,No
Female,6.86,0,4,1,76.7,6.3,Yes,Yes,68.6,75.0,Yes
Female,6.45,1,3,0,61.4,7.1,Yes,Yes,76.4,85.7,Yes
Male,7.54,0,0,2,75.5,7.0,No,Yes,55.0,71.7,No
Female,6.65,2,1,2,61.3,6.1,Yes,Yes,72.6,86.8,Yes
Female,9.02,1,2,1,68.2,8.7,No,No,88.1,80.4,Yes
Female,5.93,0,0,0,77.1,3.5,Yes,No,64.3,67.8,No
Male,8.74,1,2,2,42.5,5.6,Yes,No,71.4,62.8,No
Female,7.09,1,1,4,90.3,7.5,Yes,No,87.6,67.8,Yes
Male,7.5,0,5,1,70.6,8.6,Yes,No,92.1,69.0,Yes
Male,8.03,1,3,0,34.3,6.8,Yes,Yes,82.7,60.2,Yes
Female,6.57,1,4,1,85.2,8.7,Yes,No,90.6,72.6,Yes
Female,8.06,1,4,1,79.8,9.1,No,Yes,86.7,71.0,No
Male,4.49,2,0,4,62.2,6.0,Yes,No,57.9,57.4,Yes
Female,6.48,2,6,2,85.9,5.2,No,No,80.6,56.6,Yes
Male,6.28,0,0,0,55.4,5.2,No,Yes,77.4,76.6,No
Male,5.95,1,3,3,63.0,4.4,Yes,No,64.7,75.7,Yes
Female,6.99,1,1,0,100.0,4.7,No,Yes,58.0,66.8,Yes
Female,7.59,1,2,1,72.8,5.1,No,Yes,83.3,63.2,Yes
Male,7.9,1,2,3,81.3,4.8,Yes,No,73.8,79.9,No
Male,7.44,2,0,1,77.3,8.0,No,Yes,76.4,63.2,No
Male,6.53,1,1,1,44.2,5.8,No,No,81.3,79.3,No
Male,,1,2,1,69.5,4.4,Yes,Yes,92.1,86.6,Yes
Female,7.32,1,4,0,68.1,5.9,Yes,No,68.6,81.1,No
Female,8.14,1,0,2,82.8,6.9,No,No,71.4,59.3,No
Female,7.98,1,1,1,87.5,6.1,Yes,Yes,71.8,63.7,Yes
Female,7.23,1,1,3,84.3,6.2,No,No,68.4,67.1,No
Female,6.3,2,1,0,57.9,3.8,Yes,Yes,93.5,72.9,Yes
Male,6.55,2,4,2,43.4,7.9,Yes,No,84.8,73.6,No
Female,6.65,2,4,0,72.5,6.0,Yes,No,81.5,61.7,Yes
Female,6.88,3,4,0,63.7,4.5,Yes,No,80.8,81.8,Yes
Female,7.47,5,3,2,49.2,6.3,No,No,74.0,78.1,Yes
Female,7.92,0,3,3,54.6,5.8,No,No,51.9,70.6,No
Female,7.15,1,3,1,64.1,6.7,No,No,96.6,67.4,Yes
Male,7.22,0,2,2,68.9,10.0,No,Yes,72.0,75.4,Yes
Male,7.34,1,2,2,56.7,5.4,No,No,83.7,69.6,No
Male,6.68,2,2,1,64.8,7.6,Yes,No,85.3,72.6,No
Female,6.27,1,0,2,63.9,6.0,No,Yes,73.8,74.0,Yes
Male,5.44,2,1,1,69.1,5.9,No,Yes,96.6,63.7,Yes
Male,6.5,0,3,3,50.4,8.4,No,Yes,86.2,93.5,Yes
Female,7.67,1,1,2,54.5,6.8,Yes,No,68.2,65.9,Yes
Female,6.5,1,1,0,85.2,8.9,No,No,84.4,66.1,No
Female,6.96,1,0,2,61.1,6.4,No,Yes,87.1,61.0,No
Male,7.67,2,3,0,72.1,8.5,Yes,No,75.1,69.8,Yes
Male,7.72,3,1,2,46.7,6.0,Yes,No,81.9,86.9,Yes
Female,6.12,0,0,2,82.8,5.5,No,Yes,73.5,62.1,No
Female,8.2,0,2,1,82.3,7.2,No,No,70.7,73.4,No
Male,8.33,2,1,0,69.5,6.7,No,Yes,76.7,82.0,Yes
Male,6.07,1,2,4,55.8,4.5,No,No,76.8,58.3,Yes
Female,6.38,0,1,0,43.5,6.8,No,No,72.9,73.7,No
Female,8.39,1,2,1,99.1,5.4,Yes,Yes,54.4,75.6,Yes
Male,7.05,0,2,2,58.9,7.7,No,Yes,91.0,84.8,Yes
Female,4.98,2,6,5,43.5,5.5,Yes,Yes,88.3,73.2,Yes
Male,5.8,2,4,2,56.0,6.0,Yes,No,67.0,75.8,No
Male,6.95,1,2,1,71.0,5.0,No,Yes,72.3,56.0,No
Male,6.04,2,3,3,46.3,8.0,No,Yes,65.4,79.3,Yes
Male,6.79,1,0,1,56.1,7.1,Yes,Yes,59.6,88.3,Yes
Female,7.23,1,0,0,43.4,9.9,No,Yes,65.0,82.3,Yes
Female,8.66,2,0,1,86.6,8.4,Yes,Yes,76.4,69.2,Yes
Male,6.91,1,1,3,63.8,5.8,Yes,Yes,79.1,70.7,No
Male,8.27,2,3,2,43.2,4.2,No,No,65.7,72.0,No
Male,8.63,1,4,0,51.5,5.6,No,Yes,72.4,91.9,No
Male,8.63,1,1,2,55.3,6.3,No,Yes,78.1,87.1,Yes
Male,7.48,3,2,2,65.3,3.8,Yes,No,68.9,64.4,No
Female,5.24,1,2,2,51.3,5.2,No,Yes,80.2,63.3,No
Female,7.66,0,3,1,59.5,8.0,No,No,65.7,83.7,No
Female,8.25,1,1,2,55.4,5.2,No,Yes,95.5,69.8,Yes
Female,7.12,1,1,1,43.5,5.2,No,Yes,69.1,76.5,Yes
Male,8.94,4,1,3,51.3,7.3,Yes,Yes,72.0,75.5,Yes
Male,8.06,1,2,1,53.4,5.7,No,Yes,64.5,86.7,No
Male,7.77,0,2,0,46.7,6.5,No,No,54.7,61.5,No
Male,8.29,2,1,0,43.3,7.1,Yes,Yes,79.1,76.3,Yes
Male,7.53,2,2,3,56.1,5.6,Yes,No,62.8,86.7,No
Female,4.71,2,3,3,78.0,7.7,No,No,77.4,94.8,Yes
Male,6.7,1,1,5,62.8,7.5,No,No,69.4,77.6,No
Female,8.4,0,1,2,17.3,7.0,No,Yes,87.3,64.5,No
Female,6.39,0,1,1,,8.8,No,Yes,74.7,71.0,No
Female,6.98,1,3,0,54.6,7.8,Yes,No,59.7,68.7,No
Female,6.16,0,5,2,86.6,6.1,No,Yes,76.4,83.3,Yes
Male,8.98,0,1,4,77.1,5.4,No,Yes,100.0,77.7,Yes
Female,8.88,1,4,1,60.4,6.7,No,Yes,73.1,80.0,Yes
Female,6.32,1,3,1,62.1,6.4,Yes,No,70.0,73.3,No
Female,7.35,1,1,3,47.9,6.4,Yes,Yes,81.3,75.4,Yes
Male,6.52,0,2,2,74.8,5.7,No,No,69.0,71.0,No
Male,7.81,2,5,2,89.2,6.6,No,No,75.7,70.9,Yes
Male,7.71,0,0,1,54.1,8.8,No,Yes,77.0,56.3,Yes
Female,8.01,0,2,1,56.0,7.5,No,No,64.9,73.0,Yes
Female,7.53,3,2,3,94.6,6.7,Yes,Yes,83.4,80.3,Yes
Male,10.0,3,2,1,66.3,8.4,Yes,No,86.2,78.6,Yes
Female,6.17,1,2,1,42.1,7.6,No,Yes,67.4,74.2,Yes
Male,5.49,2,3,1,44.5,6.0,Yes,No,82.6,72.0,Yes
Male,6.81,1,2,0,90.6,6.4,No,No,83.6,66.4,No
Female,5.63,1,3,2,72.1,,No,Yes,74.9,69.3,Yes
Female,5.71,1,2,2,49.2,6.9,No,No,90.0,83.5,No
Female,6.2,2,0,1,70.1,7.1,No,Yes,91.4,78.1,No
Female,6.28,0,2,3,52.5,4.6,Yes,No,69.3,71.9,No
Male,6.25,1,2,1,36.2,5.7,Yes,Yes,79.7,81.9,No
Male,7.72,2,1,1,59.8,6.4,No,No,80.3,87.2,No
Male,6.69,1,4,2,64.9,8.2,No,No,84.0,78.7,Yes
Male,7.02,1,1,3,41.5,9.3,No,Yes,80.4,78.4,Yes
Male,8.09,3,3,2,46.1,5.1,No,Yes,84.5,64.9,Yes
Female,6.43,1,4,0,50.0,5.6,Yes,No,78.4,79.5,No
Male,6.94,1,4,2,61.9,7.2,No,No,98.7,72.1,No
Male,7.57,1,0,2,66.9,9.7,No,No,75.4,71.0,Yes
Male,5.26,1,1,0,43.4,5.0,No,Yes,66.0,81.5,No
Female,4.82,1,3,0,56.3,3.6,No,No,83.9,69.8,No
Female,7.55,1,1,2,57.9,6.7,Yes,No,72.4,62.7,Yes
Female,7.69,1,1,0,38.9,4.5,Yes,Yes,70.2,83.4,No
Female,9.26,2,3,2,68.4,7.4,No,Yes,75.0,74.3,Yes
Male,7.36,0,2,1,74.0,7.7,Yes,No,79.2,65.0,Yes
Male,8.02,2,2,1,69.7,6.2,No,No,68.8,72.4,No
Female,7.0,0,3,0,45.2,5.8,No,No,82.8,75.8,No
Female,7.5,3,0,2,74.0,5.4,No,No,70.6,63.6,No
Male,8.87,1,0,1,63.5,6.6,No,No,83.3,69.8,No
Male,5.08,0,1,2,79.7,4.5,Yes,Yes,75.7,71.7,Yes
Female,7.61,2,2,3,72.2,5.8,No,No,79.2,52.1,Yes
Female,9.34,2,1,0,69.7,5.4,No,Yes,63.7,89.3,No
Female,7.48,0,0,0,60.8,6.9,Yes,No,59.3,88.5,No
Female,8.85,1,1,2,79.3,7.0,No,Yes,80.3,73.4,Yes
Male,6.57,0,0,3,47.8,8.6,No,No,95.3,74.5,Yes
Male,7.17,1,2,0,46.0,5.0,Yes,Yes,68.1,74.8,Yes
Male,7.23,2,3,0,100.0,6.0,Yes,Yes,93.5,62.9,Yes
Female,4.98,2,0,1,35.9,7.9,No,Yes,80.0,77.4,No
Female,6.03,0,2,0,47.1,7.2,No,No,70.7,64.1,No
Male,6.1,2,1,1,77.1,5.5,No,Yes,72.2,53.4,No
Male,8.02,0,2,3,40.6,4.5,No,Yes,80.0,71.4,Yes
Male,8.07,1,1,4,76.0,9.3,Yes,Yes,90.6,70.4,Yes
Male,7.52,1,1,2,83.4,4.1,No,No,80.4,88.6,No
Female,8.02,0,0,0,85.2,4.6,No,No,75.2,65.4,No
Male,7.04,2,1,1,66.0,6.8,No,No,79.3,69.9,No
Male,8.4,2,1,2,47.4,7.9,Yes,Yes,65.3,68.5,Yes
Male,7.21,1,0,0,51.3,5.2,Yes,Yes,68.9,66.2,No
Male,7.26,0,0,0,84.0,7.5,No,Yes,78.6,63.4,No
Male,6.93,1,2,0,37.0,5.0,No,No,77.4,65.1,No
Male,7.88,0,2,1,77.4,7.7,No,No,75.0,74.4,Yes
Male,6.78,0,4,2,40.9,7.7,Yes,Yes,77.2,63.7,Yes
Female,8.18,1,0,1,63.6,5.2,Yes,Yes,73.4,94.8,Yes
Female,6.07,0,3,1,55.7,7.8,Yes,No,64.1,70.5,No
Female,6.1,0,3,3,58.4,5.0,No,No,66.2,96.1,No
Female,7.89,2,1,2,85.1,2.8,Yes,No,81.4,66.1,No
Male,7.11,1,4,2,56.9,6.3,Yes,Yes,91.9,54.3,Yes
Female,6.75,3,0,3,80.6,7.1,Yes,No,79.6,77.1,Yes
Female,8.09,0,1,4,54.2,7.6,Yes,Yes,66.2,65.7,Yes
Male,6.59,1,4,1,68.9,8.1,Yes,Yes,85.6,63.4,Yes
Male,7.0,2,2,1,63.1,4.9,Yes,Yes,75.7,55.3,Yes
Female,8.6,1,2,2,44.4,6.5,No,Yes,82.5,68.9,Yes
Female,8.74,1,1,1,44.7,5.8,No,No,76.2,85.0,No
Male,8.77,1,4,0,61.1,6.5,No,Yes,86.1,73.8,Yes
Female,6.92,0,1,1,59.1,10.0,Yes,Yes,83.2,70.8,Yes
Male,8.43,0,1,0,75.1,6.2,No,No,62.5,69.1,No
Male,6.25,1,2,1,37.2,5.0,No,No,83.7,86.5,No
Male,6.29,1,1,2,52.6,6.1,No,Yes,76.4,69.9,Yes
Male,4.85,0,1,1,71.5,7.8,No,Yes,74.1,62.7,No
Female,8.87,2,4,0,61.3,7.2,No,Yes,81.7,69.6,Yes
Male,6.34,0,1,2,43.2,8.1,No,Yes,79.9,73.3,Yes
Male,7.07,1,2,4,70.4,9.3,Yes,Yes,69.4,66.8,Yes
Female,6.29,1,2,1,77.7,9.2,Yes,No,79.5,49.9,Yes
Male,7.9,1,1,0,50.0,5.3,Yes,Yes,60.4,69.0,No
Female,6.82,2,4,2,79.5,7.6,No,Yes,84.1,78.5,Yes
Female,5.9,2,0,1,56.1,3.9,No,Yes,79.4,66.7,No
Female,7.64,0,0,4,59.7,8.1,Yes,Yes,80.1,66.8,Yes
Male,5.77,2,2,3,57.0,4.2,No,No,70.5,80.7,No
Female,6.36,1,2,2,80.2,4.2,Yes,No,100.0,79.5,Yes
Female,5.09,3,2,1,62.6,6.2,No,Yes,85.9,68.8,Yes
Male,5.78,2,2,2,76.6,7.9,Yes,No,73.3,67.3,Yes
Female,7.38,2,1,1,57.7,5.1,Yes,Yes,81.1,56.7,Yes
Female,5.24,0,4,3,70.4,5.7,Yes,No,80.7,74.0,Yes
Female,5.72,0,2,0,48.7,5.2,Yes,No,79.3,68.5,No
Female,7.2,3,3,0,80.0,6.7,No,Yes,42.2,90.3,Yes
Female,6.66,2,3,0,60.4,7.9,No,Yes,78.1,78.3,Yes
Male,9.19,0,1,1,83.7,6.5,No,No,85.5,83.4,No
Female,9.03,1,2,0,64.2,5.6,Yes,Yes,70.3,62.7,Yes
Female,6.33,0,2,4,66.4,8.8,No,Yes,59.9,75.8,Yes
Male,7.76,2,1,3,99.3,8.0,No,No,70.0,72.5,No
Male,7.95,1,2,3,76.2,5.3,No,No,76.4,66.7,No
Male,6.6,1,2,2,67.9,5.2,No,Yes,92.8,68.1,Yes
Female,5.7,0,1,0,46.7,5.9,Yes,Yes,77.3,51.9,No
Male,7.19,2,2,2,53.7,8.0,Yes,Yes,69.5,84.1,Yes
Female,7.03,3,2,3,76.8,2.6,Yes,Yes,85.9,55.1,Yes
Female,6.76,0,2,4,60.0,8.5,No,Yes,72.2,73.0,Yes
Male,7.64,0,0,3,61.9,6.0,Yes,No,61.6,78.4,No
Male,6.45,1,1,3,48.8,4.7,No,No,67.6,84.5,No
Female,6.05,0,2,1,71.1,6.7,No,Yes,81.5,88.6,Yes
Male,7.31,0,2,1,66.6,6.9,Yes,Yes,66.9,78.5,No
Female,7.59,0,0,1,75.7,7.8,No,No,85.2,75.4,No
Male,6.02,1,1,2,83.6,8.2,Yes,No,93.8,87.6,Yes
Male,8.13,0,3,0,71.7,7.0,No,Yes,89.3,67.9,No
Male,5.43,2,1,4,47.4,7.3,No,Yes,70.4,65.7,No
Female,6.62,1,2,3,42.3,6.6,No,Yes,63.1,72.6,No
Male,6.94,4,2,1,76.0,7.5,Yes,Yes,53.3,63.8,Yes
Female,6.56,0,1,1,66.8,5.6,Yes,No,71.1,64.4,No
Female,6.63,1,2,1,91.3,5.9,No,Yes,54.4,76.5,Yes
Female,9.07,4,2,1,65.4,4.1,No,Yes,78.9,71.4,Yes
Female,6.35,1,3,2,39.1,9.0,No,Yes,90.7,66.0,Yes
Male,9.64,1,2,2,46.0,5.6,Yes,No,78.7,72.8,Yes
Female,7.64,4,1,2,53.7,8.1,No,Yes,70.1,75.9,No
Female,7.29,1,2,0,91.1,8.4,Yes,Yes,88.0,66.7,Yes
Male,7.68,1,1,0,82.5,4.2,Yes,Yes,69.4,77.6,Yes
Female,9.73,2,1,1,57.0,6.7,No,Yes,71.6,70.9,No
Male,6.21,3,0,3,62.1,7.5,Yes,Yes,73.6,79.6,Yes
Female,6.08,2,2,0,44.6,5.7,No,No,66.5,74.2,No
Male,6.45,2,3,2,44.0,4.4,No,Yes,74.7,53.1,No
Female,7.23,1,2,4,81.8,8.7,Yes,No,86.0,78.0,Yes
Male,5.47,2,0,0,79.1,7.5,Yes,Yes,75.5,78.2,Yes
Female,7.22,3,1,0,60.9,6.6,No,Yes,61.5,60.5,Yes
Female,8.89,0,2,0,92.6,4.9,No,Yes,76.5,67.9,No
Male,7.35,1,2,0,71.5,5.0,Yes,Yes,79.6,67.5,Yes
Male,6.91,1,3,0,68.2,6.8,Yes,Yes,71.6,65.0,Yes
Male,6.58,2,2,0,68.3,5.8,No,No,73.7,58.1,No
Male,8.1,3,1,3,49.1,6.8,No,No,87.0,79.3,Yes
Female,6.37,4,1,2,79.2,7.1,No,Yes,72.1,77.1,Yes
Female,9.05,2,2,1,79.3,5.8,No,Yes,78.5,80.9,Yes
Male,9.13,2,4,1,68.6,9.0,No,No,77.5,70.6,Yes
Female,7.46,0,0,0,48.2,5.4,Yes,No,59.3,83.7,No
Male,7.19,0,1,1,81.3,5.1,Yes,Yes,63.6,57.2,No
Male,8.23,1,2,1,38.0,7.1,No,No,73.8,76.1,Yes
Female,8.29,0,2,0,53.4,7.2,No,Yes,81.6,81.9,No
Female,6.39,2,5,1,73.7,5.0,Yes,Yes,92.2,62.8,Yes
Female,6.67,2,2,0,58.9,6.0,No,No,59.3,67.7,No
Female,5.88,1,2,2,50.2,4.2,Yes,No,60.4,58.6,No
Female,7.61,1,1,0,85.8,5.7,Yes,Yes,74.2,79.7,Yes
Female,7.87,1,0,3,82.0,7.7,No,Yes,80.9,63.2,Yes
Female,5.85,2,1,3,81.0,4.6,Yes,Yes,65.7,72.0,Yes
Male,6.74,3,1,2,70.0,4.9,Yes,No,78.6,67.5,Yes
Male,5.85,4,3,0,65.5,5.3,Yes,No,83.7,62.6,No
Male,6.3,1,0,2,91.1,8.2,No,Yes,83.1,68.9,No
Male,7.75,1,8,0,86.5,8.0,No,Yes,97.4,75.2,Yes
Male,6.47,1,3,0,63.7,3.4,No,No,68.9,73.0,No
Female,6.9,3,2,1,100.0,3.8,No,No,51.4,58.9,Yes
Male,5.57,0,1,4,63.1,6.6,Yes,Yes,68.0,75.9,Yes
Male,7.39,0,2,1,70.8,4.1,Yes,No,85.1,75.4,No
Male,7.16,1,3,0,85.9,8.3,No,Yes,86.4,82.7,Yes
Male,6.47,1,2,1,70.6,3.2,Yes,No,58.7,60.9,No
Male,,2,3,2,61.0,5.4,No,Yes,89.9,82.5,Yes
Male,7.38,0,0,3,70.7,6.8,No,No,59.2,64.0,No
Male,6.39,0,1,1,64.9,8.7,No,Yes,71.5,57.7,Yes
Female,5.72,1,1,0,33.0,6.5,Yes,No,80.3,77.9,No
Female,9.01,2,2,2,80.1,7.0,No,Yes,71.1,78.2,Yes
Male,6.57,1,2,1,55.7,6.8,No,Yes,80.2,80.8,Yes
Female,7.1,1,4,1,47.7,7.9,No,Yes,70.8,63.9,Yes
Female,8.21,1,3,0,83.1,7.0,Yes,No,76.8,64.1,Yes
Female,10.0,1,2,2,70.7,7.6,No,Yes,62.0,66.5,Yes
Female,5.96,2,2,2,75.2,7.6,No,No,90.8,70.5,No
Male,7.65,2,1,2,63.1,8.1,Yes,No,73.6,80.4,Yes
Female,6.49,4,0,2,68.4,3.2,No,Yes,71.8,61.7,No
Female,6.66,0,3,1,,4.2,Yes,Yes,80.0,75.8,No
Female,6.48,1,2,3,52.1,7.5,No,Yes,61.9,74.8,Yes
Male,6.07,0,0,1,75.3,9.4,Yes,Yes,73.1,67.5,Yes
Male,7.16,2,2,1,68.6,7.0,No,Yes,62.8,79.7,Yes
Male,5.73,2,3,1,90.8,6.1,No,No,67.4,84.0,No
Male,8.15,0,3,2,31.5,8.0,Yes,No,74.3,83.1,Yes
Male,7.26,1,2,0,82.7,8.5,No,Yes,79.9,70.4,Yes
Male,7.62,1,3,0,59.2,7.5,Yes,No,69.9,76.9,Yes
Male,6.73,0,3,4,57.8,6.4,No,Yes,72.0,69.3,Yes
Female,6.83,2,1,1,73.8,6.6,No,No,82.3,68.9,No
Female,7.49,0,2,1,51.7,6.9,No,Yes,72.2,69.6,Yes
Female,6.04,2,1,2,58.3,8.5,No,Yes,67.7,61.3,No
Male,6.84,1,1,1,73.9,7.1,No,Yes,79.3,60.2,No
Male,6.34,1,1,0,57.0,7.2,Yes,No,75.2,62.4,No
Male,6.31,1,1,1,54.4,7.9,No,Yes,74.0,76.4,Yes
Male,5.09,3,2,0,54.4,6.4,No,Yes,86.6,80.5,No
Male,8.54,0,0,2,70.3,6.9,No,Yes,70.6,56.2,No
Female,6.51,1,1,1,46.9,9.4,Yes,Yes,81.7,64.5,No
Female,8.36,2,5,0,76.3,5.5,Yes,No,52.7,56.5,No
Male,8.27,2,2,1,96.7,5.6,No,Yes,72.0,70.4,Yes
Male,5.91,2,1,0,65.1,5.2,No,No,75.6,72.9,No
Male,6.11,2,2,0,71.5,7.0,No,No,73.5,71.2,Yes
Male,9.76,0,1,1,69.0,7.1,Yes,Yes,67.7,87.0,Yes
Female,8.95,1,3,1,51.0,3.6,Yes,No,59.7,59.8,No
Male,7.17,0,1,1,69.7,7.9,Yes,Yes,69.0,57.6,Yes
Male,7.46,2,1,1,68.3,4.9,No,Yes,69.8,63.6,No
Male,6.57,2,3,1,91.6,7.2,No,Yes,77.0,68.0,Yes
Male,7.63,2,2,1,68.7,6.7,No,Yes,85.0,85.8,Yes
Female,6.48,1,2,4,83.6,2.2,Yes,No,64.1,77.6,No
Male,5.17,0,2,1,71.4,2.9,No,Yes,78.2,70.6,No
Male,5.88,1,0,0,57.4,4.8,No,No,69.1,82.8,No
Female,7.22,2,0,2,47.2,8.3,Yes,Yes,81.8,70.5,Yes
Female,6.07,0,1,3,69.6,3.7,No,No,84.9,67.3,No
Female,7.13,3,3,0,76.4,8.2,Yes,Yes,81.7,73.6,Yes
Male,6.13,0,3,1,63.7,3.9,No,No,80.3,59.9,No
Male,6.42,0,1,4,55.5,3.2,No,No,52.8,62.9,No
Female,8.05,1,1,3,86.1,6.9,No,No,70.0,87.9,Yes
Female,7.45,2,1,1,58.4,6.4,No,Yes,84.0,76.8,No
Female,7.19,5,0,1,,3.9,No,No,93.1,78.9,Yes
Female,8.08,2,3,0,64.0,4.7,Yes,Yes,83.8,68.0,Yes
Female,7.68,0,1,2,66.2,7.0,No,No,80.8,70.2,Yes
Female,8.65,0,4,1,54.0,5.9,No,Yes,75.9,86.2,No
Male,6.74,0,5,1,63.6,7.4,Yes,No,70.5,63.0,Yes
Male,6.77,1,1,2,39.6,6.0,Yes,No,90.2,74.4,No
Male,5.9,2,4,3,71.4,8.0,Yes,Yes,80.3,82.6,Yes
Female,6.77,0,3,1,49.3,4.8,No,Yes,73.0,62.1,No
Female,8.16,5,3,0,59.3,7.4,Yes,No,78.0,64.0,Yes
Female,8.5,0,0,2,54.8,4.6,Yes,Yes,77.7,64.8,Yes
Female,8.16,1,4,1,86.0,7.0,Yes,Yes,79.2,71.6,Yes
Female,5.41,3,6,0,60.4,7.5,Yes,No,82.5,70.5,Yes
Female,8.28,1,1,2,52.3,4.9,No,Yes,62.9,65.4,Yes
Male,5.36,1,3,1,96.4,7.1,Yes,Yes,63.1,74.1,Yes
Male,8.1,4,0,1,91.9,7.3,No,Yes,87.0,68.3,Yes
Female,6.83,0,1,1,77.5,7.2,Yes,No,67.6,69.0,Yes
Male,7.9,0,3,1,73.4,5.4,Yes,Yes,72.8,83.2,Yes
Female,5.87,2,2,0,52.0,6.0,No,Yes,79.1,73.5,Yes
Male,8.37,1,4,2,81.3,9.1,No,No,75.2,77.4,Yes
Female,5.74,0,1,4,70.5,5.2,No,No,76.5,73.7,No
Female,6.53,1,1,0,55.4,,Yes,Yes,69.1,65.4,Yes
Male,6.2,0,5,1,67.1,6.2,No,Yes,91.8,71.7,No
Male,5.45,1,1,1,58.0,7.0,No,Yes,82.0,64.7,No
Female,7.29,0,0,3,42.2,8.6,No,Yes,75.4,72.3,No
Female,9.01,1,2,3,85.5,5.6,No,Yes,99.5,82.2,Yes
Male,9.87,0,1,1,37.8,7.0,No,No,68.8,59.7,No
Male,7.3,0,5,0,97.3,7.6,No,No,80.1,65.7,No
Female,8.32,0,2,0,61.8,6.0,No,No,76.9,79.9,No
Male,7.43,0,5,3,71.8,5.2,No,No,78.8,68.9,Yes
Female,7.7,2,4,2,73.0,6.7,No,Yes,78.0,62.2,Yes
Female,6.86,0,2,1,50.2,6.5,No,No,100.0,57.8,No
Female,7.4,0,1,2,61.8,4.0,Yes,Yes,78.9,67.9,Yes
Female,7.74,1,2,1,63.5,5.3,Yes,No,79.7,72.8,Yes
Male,6.62,0,2,5,55.9,7.6,No,No,66.4,79.6,No
Male,7.12,1,4,4,80.6,5.8,No,No,70.8,82.5,Yes
Male,7.14,0,1,1,46.9,7.2,No,Yes,80.0,68.7,No
Male,8.03,1,0,0,68.0,4.9,Yes,Yes,72.1,76.4,Yes
Male,6.13,0,4,2,39.3,6.7,No,No,81.6,75.0,No
Male,7.15,3,1,1,68.6,6.7,No,No,73.2,71.9,No
Male,9.11,1,4,2,67.5,6.9,Yes,No,68.5,86.9,Yes
Female,8.36,2,1,0,93.6,5.9,Yes,Yes,58.3,40.4,Yes
Male,8.55,2,5,4,55.8,6.7,No,Yes,88.0,52.7,Yes
Male,7.22,2,1,2,62.5,9.3,Yes,Yes,71.9,68.7,No
Female,7.52,2,1,4,61.4,7.1,Yes,No,72.8,76.1,Yes
Male,8.2,2,0,4,90.2,8.7,No,No,83.6,90.5,Yes
Male,8.76,1,1,0,56.4,6.2,No,No,69.0,71.7,No
Female,5.25,0,4,2,68.4,2.6,Yes,Yes,91.6,76.2,No
Male,5.88,2,3,2,60.6,7.6,No,Yes,79.4,71.8,No
Male,8.51,0,3,1,62.7,9.4,Yes,No,87.0,80.8,Yes
Male,6.92,1,2,0,65.2,6.7,Yes,Yes,84.2,64.9,No
Female,6.53,2,3,3,81.5,5.6,Yes,No,82.9,71.3,Yes
Male,5.95,0,2,4,86.8,6.6,Yes,No,70.3,59.8,Yes
Male,6.64,0,1,2,44.2,8.2,Yes,Yes,64.4,66.0,No
Female,5.8,0,5,3,76.7,6.7,No,Yes,84.7,61.2,Yes
Male,9.29,1,1,3,83.8,5.5,Yes,No,59.5,66.1,Yes
Female,7.18,3,1,5,70.1,5.0,No,No,62.2,69.7,No
Female,7.14,4,1,1,82.8,7.6,No,No,72.6,74.6,Yes
Male,7.79,0,0,2,46.3,10.0,Yes,No,72.3,91.7,Yes
Female,8.16,3,2,3,72.6,4.7,No,No,62.7,82.3,Yes
Female,8.15,1,6,2,83.7,7.4,No,Yes,73.2,76.8,Yes
Male,8.27,0,2,4,55.5,7.5,Yes,Yes,73.9,52.7,Yes
Female,6.57,1,2,1,45.7,4.8,Yes,No,71.3,62.3,No
Female,6.9,4,2,2,82.1,7.7,Yes,No,76.8,72.7,Yes
Male,7.97,1,2,2,58.7,9.6,No,Yes,51.6,84.2,Yes
Male,6.67,3,5,2,56.3,7.9,No,Yes,83.8,69.8,Yes
Male,7.19,0,0,1,36.8,6.0,Yes,Yes,92.7,76.8,Yes
Female,7.6,0,1,1,57.3,4.5,Yes,Yes,73.2,59.0,No
Male,7.99,3,2,3,54.5,7.2,No,Yes,75.8,63.2,Yes
Female,5.42,1,3,0,38.0,6.3,Yes,No,72.0,69.4,No
Female,7.91,0,1,4,56.2,7.5,Yes,Yes,80.1,51.7,Yes
Female,6.97,1,1,4,82.8,6.1,No,Yes,83.4,78.0,Yes
Female,7.91,0,3,2,70.1,5.1,No,No,63.6,81.5,No
Female,7.98,1,4,0,40.4,6.6,Yes,No,70.2,79.2,No
Female,8.81,1,1,1,70.8,8.2,Yes,Yes,66.1,55.7,Yes
Female,8.55,1,3,2,75.9,7.7,No,Yes,88.8,70.8,Yes
Male,8.55,2,2,2,66.6,6.1,Yes,No,75.0,63.4,Yes
Male,8.64,1,0,2,64.5,4.7,Yes,Yes,72.0,65.5,No
Female,7.49,0,2,1,53.1,6.1,Yes,No,81.5,45.1,No
Female,7.23,2,2,1,71.3,6.0,No,No,71.2,79.0,Yes
Male,8.07,1,1,3,73.8,6.4,Yes,No,68.6,83.9,Yes
Female,7.93,0,1,3,69.2,9.5,No,Yes,59.2,47.3,Yes
Male,6.89,2,3,1,91.2,6.0,No,Yes,87.7,60.5,Yes
